"Date","Steps","Distance (mi)","Elevation (ft)","Calories"
"2017-02-16","2217","1.00","0","53"
"2017-02-15","7776","3.55","0","188"
"2017-02-14","7769","3.53","0","187"
"2017-02-13","7730","3.53","0","187"
"2017-02-12","13635","6.10","0","320"
"2017-02-11","3946","1.73","0","90"
"2017-02-10","7380","3.36","0","176"
"2017-02-09","5180","2.29","0","120"
"2017-02-08","8119","3.60","0","189"
"2017-02-07","7750","3.49","0","184"
"2017-02-06","7270","3.25","0","172"
"2017-02-05","8221","3.91","0","205"
"2017-02-04","5839","2.58","0","135"
"2017-02-03","6776","3.02","0","159"
"2017-02-02","5983","2.67","0","140"
"2017-02-01","6134","2.76","0","145"
"2017-01-31","5969","2.67","0","140"
"2017-01-30","6591","2.94","0","155"
"2017-01-29","11388","5.05","0","267"
"2017-01-28","9371","4.20","0","221"
"2017-01-27","8123","3.66","0","193"
"2017-01-26","8069","3.65","0","193"
"2017-01-25","7500","3.34","0","176"
"2017-01-24","7017","3.10","0","163"
"2017-01-23","6827","3.01","0","159"
"2017-01-22","8888","4.04","0","212"
"2017-01-21","4749","2.09","0","110"
"2017-01-20","9373","4.12","0","216"
"2017-01-19","7473","3.32","0","174"
"2017-01-18","5946","2.63","0","138"
"2017-01-17","5844","2.56","0","135"
"2017-01-16","7019","3.08","0","163"
"2017-01-15","8738","3.88","0","205"
"2017-01-14","2876","1.26","0","66"
"2017-01-13","5347","2.37","0","124"
"2017-01-12","4627","2.06","0","108"
"2017-01-11","3303","1.45","0","76"
"2017-01-10","6127","2.73","0","144"
"2017-01-09","4956","2.22","0","117"
"2017-01-08","4429","1.96","0","103"
"2017-01-07","5288","2.39","0","126"
"2017-01-06","857","0.38","0","19"
