"Date","Heart rate (bpm)","Comments"
"2017-01-13 7:25 AM","81",""
"2016-11-23 7:17 AM","83",""
"2016-11-22 7:29 AM","85",""
"2016-11-21 7:27 AM","72",""
"2016-11-15 7:20 AM","69",""
"2016-11-13 8:34 AM","78",""
"2016-11-11 7:20 AM","88",""
"2016-11-04 7:52 AM","81",""
"2016-11-02 7:13 AM","85",""
"2016-10-31 7:28 AM","63",""
"2016-10-25 7:56 AM","76",""
"2016-10-19 7:58 AM","81",""
"2016-10-12 7:56 AM","81",""
"2016-10-11 7:57 AM","81",""
"2016-10-10 7:57 AM","69",""
"2016-10-08 8:25 AM","73",""
"2016-10-04 7:29 AM","73",""
"2016-10-02 8:51 AM","78",""
"2016-10-01 8:53 AM","61",""
"2016-09-29 7:59 AM","80",""
"2016-09-28 8:32 AM","78",""
"2016-09-27 7:55 AM","69",""
"2016-09-26 8:02 AM","78",""
"2016-09-25 9:21 AM","53",""
"2016-09-24 8:06 AM","89",""
"2016-09-23 7:48 AM","107",""
"2016-09-22 7:49 AM","85",""
"2016-09-21 8:05 AM","107",""
"2016-09-19 7:15 AM","66",""
"2016-09-18 9:03 AM","69",""
"2016-09-16 8:19 AM","85",""
"2016-09-14 7:04 AM","75",""
"2016-09-13 8:01 AM","78",""
"2016-09-08 8:24 AM","77",""
"2016-09-06 7:53 AM","73",""
"2016-09-02 7:23 AM","58",""
"2016-08-05 8:06 AM","82",""
"2016-08-04 7:41 AM","73",""
"2016-08-02 8:06 AM","77",""
"2016-07-30 9:12 AM","78",""
"2016-07-29 8:05 AM","83",""
"2016-07-28 8:32 AM","62",""
"2016-07-27 8:21 AM","75",""
"2016-07-26 8:02 AM","74",""
"2016-07-22 7:39 AM","71",""
"2016-07-21 8:32 AM","89",""
"2016-07-15 7:23 AM","84",""
"2016-07-08 8:53 AM","78",""
"2016-07-07 7:45 AM","85",""
"2016-07-06 8:03 AM","83",""
"2016-07-02 8:47 AM","94",""
"2016-07-01 7:51 AM","79",""
"2016-06-30 8:26 AM","85",""
"2016-06-29 7:59 AM","76",""
"2016-06-28 8:07 AM","78",""
"2016-06-27 7:52 AM","90",""
"2016-06-25 8:34 AM","93",""
"2016-06-24 8:13 AM","92",""
"2016-06-23 7:41 AM","75",""
"2016-06-22 8:11 AM","90",""
"2016-06-21 7:51 AM","77",""
"2016-06-20 7:39 AM","74",""
"2016-06-19 9:10 AM","74",""
"2016-06-18 8:07 AM","84",""
"2016-06-12 8:03 AM","78",""
"2016-06-06 8:08 AM","91",""
"2016-06-04 8:00 AM","85",""
"2016-06-03 7:57 AM","74",""
"2016-05-31 7:23 AM","73",""
"2016-05-26 7:34 AM","87",""
"2016-05-24 8:27 AM","86",""
"2016-05-20 7:40 AM","81",""
"2016-05-19 7:49 AM","78",""
"2016-05-18 7:41 AM","78",""
"2016-05-17 7:32 AM","82",""
"2016-05-16 7:55 AM","75",""
"2016-05-15 8:57 AM","63",""
"2016-05-13 7:36 AM","79",""
"2016-05-11 7:27 AM","75",""
"2016-05-10 7:36 AM","76",""
"2016-05-09 7:45 AM","87",""
"2016-05-08 7:43 AM","90",""
"2016-05-07 8:21 AM","83",""
"2016-05-02 8:49 AM","83",""
"2016-05-01 8:44 AM","87",""
"2016-04-29 8:04 AM","73",""
"2016-04-28 7:38 AM","75",""
"2016-04-27 7:22 AM","59",""
"2016-04-26 7:17 AM","74",""
"2016-04-25 9:27 PM","79",""
"2016-04-25 9:17 PM","61",""
