#
# Exported poll results from Less Wrong
# Columns: user, pollid, response, date
# user is either a username or a number (if the 'voted anonymously' button was
# checked). Anonymous user numbers are shared between poll questions asked in a
# single comment, but not between comments.
# pollid is a site-wide unique identifier of the poll.
# response is the user's answer to the poll. For multiple-choice polls, this is
# the index of their choice, starting at zero. For scale polls, this is the
# distance of their choice from the left, starting at zero. For probability and
# numeric polls, this is a number.
#
"1","103","0","2017-04-02T02:15:58.041514"
"MaxNanasy","103","5","2015-06-24T07:25:59.949614"
"Dacyn","103","6","2014-12-07T14:24:42.167781"
"2","103","0","2014-09-19T06:03:48.558881"
"3","103","6","2014-04-20T05:47:00.353866"
"4","103","6","2014-01-10T02:57:53.199283"
"blacktrance","103","1","2013-05-04T04:55:56.592263"
"5","103","4","2013-05-02T12:27:28.796300"
"army1987","103","1","2013-03-27T12:56:48.845906"
"6","103","1","2012-09-27T11:08:39.775666"
"Jayson_Virissimo","103","5","2012-09-27T11:19:00.147939"
"7","103","5","2012-09-27T11:24:04.567646"
"8","103","5","2012-09-27T11:36:01.825652"
"9","103","1","2012-09-27T12:21:36.966155"
"10","103","1","2012-09-27T12:24:54.999474"
"11","103","1","2012-09-27T12:48:51.732937"
"12","103","1","2012-09-27T13:38:05.740819"
"13","103","0","2012-09-27T14:12:11.173515"
"14","103","1","2012-09-27T14:29:16.212373"
"15","103","1","2012-09-27T14:47:28.846421"
"16","103","0","2012-09-27T15:15:03.272994"
"17","103","6","2012-09-27T16:01:43.087483"
"18","103","3","2012-09-27T16:08:34.177428"
"19","103","1","2012-09-27T16:16:29.989948"
"thomblake","103","2","2012-09-27T16:43:39.618744"
"20","103","3","2012-09-27T17:39:38.362460"
"21","103","1","2012-09-27T17:58:57.811418"
"22","103","5","2012-09-27T20:51:27.493832"
"23","103","1","2012-09-27T21:37:25.921430"
"DanArmak","103","6","2012-09-27T23:59:47.083279"
"24","103","6","2012-09-28T01:43:53.247539"
"25","103","0","2012-09-28T05:26:12.643991"
"26","103","5","2012-09-28T06:40:16.665337"
"27","103","4","2012-09-28T15:38:12.619663"
"28","103","4","2012-09-28T15:38:20.966081"
"29","103","5","2012-09-28T17:32:48.843946"
"JQuinton","103","1","2012-09-28T18:00:51.706011"
"jsteinhardt","103","0","2012-09-28T19:10:56.354437"
"Swimmy","103","1","2012-09-28T19:52:08.870239"
"30","103","3","2012-09-28T20:14:48.802665"
"31","103","1","2012-09-28T20:41:05.707187"
"32","103","0","2012-09-29T06:15:25.329369"
"33","103","0","2012-09-29T08:54:46.112788"
"34","103","1","2012-09-29T18:28:41.557509"
"William_Kasper","103","1","2012-09-30T04:10:39.132533"
"RobinZ","103","1","2012-09-30T04:12:34.189263"
"35","103","6","2012-09-30T06:52:29.420856"
"36","103","3","2012-09-30T23:24:46.045616"
"37","103","6","2012-10-04T04:29:19.848377"
"VincentYu","103","6","2012-10-06T10:07:18.063317"
"38","103","4","2012-10-06T13:51:44.239224"
"39","103","1","2012-10-06T23:59:31.026923"
"40","103","0","2012-10-09T19:02:46.920663"
"41","103","1","2012-10-15T01:40:24.186282"
"42","103","0","2012-12-25T00:24:51.466184"
"43","103","1","2013-01-16T16:28:02.812833"
