#
# Exported poll results from Less Wrong
# Columns: user, pollid, response, date
# user is either a username or a number (if the 'voted anonymously' button was
# checked). Anonymous user numbers are shared between poll questions asked in a
# single comment, but not between comments.
# pollid is a site-wide unique identifier of the poll.
# response is the user's answer to the poll. For multiple-choice polls, this is
# the index of their choice, starting at zero. For scale polls, this is the
# distance of their choice from the left, starting at zero. For probability and
# numeric polls, this is a number.
#
"1","105","5","2017-04-02T02:05:29.501913"
"MaxNanasy","105","3","2015-06-24T07:31:49.656026"
"Dacyn","105","8","2014-12-07T13:45:48.095613"
"2","105","3","2014-09-19T05:58:30.162691"
"3","105","8","2014-07-04T11:49:32.646314"
"4","105","8","2014-04-20T05:55:12.699326"
"5","105","7","2014-02-27T05:26:39.764943"
"6","105","8","2014-01-10T02:52:12.379368"
"7","105","7","2013-05-02T12:20:47.956892"
"8","105","7","2013-03-27T12:55:48.486564"
"9","105","7","2013-03-01T02:57:56.459557"
"10","105","5","2012-09-27T11:08:56.465696"
"11","105","7","2012-09-27T11:18:32.137406"
"Jayson_Virissimo","105","5","2012-09-27T11:20:23.847207"
"12","105","6","2012-09-27T11:37:07.744438"
"13","105","6","2012-09-27T12:20:24.909935"
"14","105","7","2012-09-27T12:26:21.360180"
"15","105","7","2012-09-27T12:54:16.047688"
"Gedusa","105","5","2012-09-27T13:13:59.574430"
"16","105","6","2012-09-27T13:22:09.147268"
"17","105","1","2012-09-27T13:23:13.525680"
"18","105","8","2012-09-27T13:48:23.152703"
"19","105","6","2012-09-27T14:28:08.602285"
"20","105","8","2012-09-27T14:42:13.259446"
"21","105","1","2012-09-27T14:46:42.367087"
"22","105","7","2012-09-27T16:01:16.422080"
"23","105","5","2012-09-27T16:09:24.762203"
"thomblake","105","5","2012-09-27T16:49:39.024302"
"24","105","1","2012-09-27T17:33:56.126112"
"25","105","3","2012-09-27T17:57:17.878775"
"nyan_sandwich","105","6","2012-09-27T20:37:49.301981"
"26","105","7","2012-09-27T20:50:14.392309"
"27","105","6","2012-09-27T20:52:18.127635"
"RichardHughes","105","4","2012-09-27T21:40:31.277862"
"28","105","4","2012-09-27T23:41:45.818512"
"29","105","7","2012-09-28T01:06:36.370857"
"30","105","6","2012-09-28T01:26:25.058639"
"31","105","6","2012-09-28T02:55:11.416705"
"32","105","8","2012-09-28T06:42:43.642126"
"NihilCredo","105","7","2012-09-28T10:36:41.402426"
"33","105","2","2012-09-28T11:46:09.301426"
"34","105","1","2012-09-28T12:36:40.719588"
"35","105","7","2012-09-28T14:03:40.001670"
"36","105","6","2012-09-28T15:23:48.105804"
"37","105","0","2012-09-28T15:39:21.992629"
"38","105","4","2012-09-28T17:34:00.311673"
"jsteinhardt","105","2","2012-09-28T19:04:59.036154"
"Swimmy","105","8","2012-09-28T19:42:44.785626"
"39","105","3","2012-09-28T20:12:14.273761"
"40","105","7","2012-09-28T20:37:59.269972"
"41","105","7","2012-09-28T21:00:09.395990"
"42","105","4","2012-09-28T21:20:33.346055"
"43","105","5","2012-09-29T00:00:13.062511"
"44","105","8","2012-09-29T06:13:04.200704"
"45","105","0","2012-09-29T08:46:00.025741"
"46","105","5","2012-09-29T15:31:47.688118"
"47","105","8","2012-09-29T18:23:23.611439"
"48","105","6","2012-09-29T21:20:50.759729"
"William_Kasper","105","5","2012-09-30T04:00:34.949198"
"RobinZ","105","4","2012-09-30T04:20:10.816607"
"49","105","5","2012-09-30T21:23:16.954701"
"50","105","3","2012-09-30T23:10:38.624729"
"jkaufman","105","7","2012-10-01T00:29:27.938546"
"51","105","7","2012-10-01T04:56:43.705135"
"52","105","2","2012-10-01T13:19:00.701221"
"53","105","8","2012-10-01T23:07:36.026512"
"54","105","5","2012-10-04T04:32:19.789503"
"VincentYu","105","4","2012-10-06T09:29:37.085906"
"55","105","7","2012-10-06T11:16:53.624313"
"56","105","5","2012-10-06T22:39:42.126659"
"57","105","5","2012-10-09T17:43:35.190189"
"58","105","7","2012-10-15T01:35:56.777008"
"59","105","5","2012-10-15T10:58:49.877606"
"peter_hurford","105","5","2012-10-15T14:32:25.150000"
"60","105","1","2012-10-26T09:45:46.876292"
"RobbBB","105","5","2012-12-08T00:21:17.759508"
"blacktrance","105","0","2012-12-10T21:05:50.666254"
"61","105","7","2013-01-16T16:26:29.087489"
"62","105","7","2013-01-29T15:54:22.531995"
