#
# Exported poll results from Less Wrong
# Columns: user, pollid, response, date
# user is either a username or a number (if the 'voted anonymously' button was
# checked). Anonymous user numbers are shared between poll questions asked in a
# single comment, but not between comments.
# pollid is a site-wide unique identifier of the poll.
# response is the user's answer to the poll. For multiple-choice polls, this is
# the index of their choice, starting at zero. For scale polls, this is the
# distance of their choice from the left, starting at zero. For probability and
# numeric polls, this is a number.
#
"1","93","3","2017-04-02T02:07:53.017182"
"MaxNanasy","93","2","2015-06-24T07:12:07.028634"
"2","93","3","2014-12-07T13:51:04.572150"
"3","93","3","2014-09-19T06:00:09.002117"
"4","93","2","2014-04-20T05:32:02.619370"
"5","93","3","2014-02-27T05:27:22.000365"
"6","93","2","2014-01-10T02:53:59.605466"
"7","93","2","2013-05-02T12:22:17.193729"
"8","93","2","2013-03-01T02:59:57.362107"
"9","93","2","2012-09-26T14:07:46.623761"
"10","93","2","2012-09-26T14:07:52.435346"
"jimrandomh","93","2","2012-09-26T14:19:36.853523"
"Jayson_Virissimo","93","3","2012-09-26T14:21:35.558508"
"11","93","2","2012-09-26T14:24:00.522328"
"12","93","2","2012-09-26T14:27:10.192124"
"13","93","2","2012-09-26T14:32:12.159370"
"14","93","2","2012-09-26T14:32:48.818671"
"DanArmak","93","4","2012-09-26T14:39:21.109216"
"15","93","2","2012-09-26T14:41:18.478355"
"ArisKatsaris","93","2","2012-09-26T14:41:33.169376"
"16","93","3","2012-09-26T14:46:12.482208"
"17","93","2","2012-09-26T14:44:29.187176"
"18","93","2","2012-09-26T14:45:43.959835"
"19","93","3","2012-09-26T15:03:51.179195"
"20","93","2","2012-09-26T15:07:03.919245"
"21","93","2","2012-09-26T15:11:09.589113"
"22","93","3","2012-09-26T15:15:42.039651"
"23","93","3","2012-09-26T15:19:01.348234"
"24","93","2","2012-09-26T15:21:49.590431"
"25","93","2","2012-09-26T15:35:52.223752"
"26","93","2","2012-09-26T15:18:56.091016"
"27","93","3","2012-09-26T15:19:27.565469"
"28","93","2","2012-09-26T15:22:21.423220"
"29","93","2","2012-09-26T15:23:46.664445"
"30","93","4","2012-09-26T15:26:31.373934"
"31","93","2","2012-09-26T15:28:02.483129"
"Oscar_Cunningham","93","2","2012-09-26T15:32:40.968075"
"32","93","2","2012-09-26T15:34:03.509245"
"33","93","2","2012-09-26T15:37:46.203267"
"34","93","2","2012-09-26T15:40:08.059243"
"35","93","3","2012-09-26T15:47:35.310198"
"Emile","93","2","2012-09-26T15:53:39.613338"
"36","93","2","2012-09-26T16:04:59.938577"
"37","93","3","2012-09-26T16:08:52.083428"
"William_Quixote","93","2","2012-09-26T16:10:21.963268"
"38","93","2","2012-09-26T16:11:02.060625"
"Alicorn","93","0","2012-09-26T16:13:35.191280"
"drethelin","93","3","2012-09-26T16:19:32.733343"
"Kaj_Sotala","93","2","2012-09-26T16:25:36.113507"
"39","93","3","2012-09-26T16:28:20.597882"
"40","93","2","2012-09-26T16:32:07.750798"
"41","93","2","2012-09-26T16:41:21.606756"
"42","93","3","2012-09-26T16:41:30.508430"
"43","93","2","2012-09-26T16:50:28.204639"
"VincentYu","93","2","2012-09-26T16:54:12.165980"
"44","93","3","2012-09-26T16:54:38.293070"
"GuySrinivasan","93","2","2012-09-26T17:08:07.318217"
"45","93","2","2012-09-26T17:09:39.570051"
"46","93","2","2012-09-26T17:09:49.770889"
"47","93","2","2012-09-26T17:14:30.372952"
"Furcas","93","2","2012-09-26T17:15:31.377930"
"48","93","2","2012-09-26T17:17:33.745271"
"49","93","2","2012-09-26T17:16:27.237744"
"50","93","2","2012-09-26T17:22:56.540784"
"EricHerboso","93","2","2012-09-26T17:31:02.177164"
"51","93","2","2012-09-26T17:35:00.456275"
"52","93","3","2012-09-26T17:53:51.634840"
"53","93","4","2012-09-26T17:55:35.492811"
"thomblake","93","4","2012-09-26T17:57:37.113926"
"54","93","2","2012-09-26T18:10:32.273315"
"55","93","2","2012-09-26T18:11:24.688524"
"56","93","2","2012-09-26T18:11:41.575216"
"prase","93","2","2012-09-26T18:14:34.872897"
"57","93","2","2012-09-26T18:15:56.860577"
"58","93","2","2012-09-26T18:16:36.231025"
"59","93","2","2012-09-26T18:18:12.270090"
"60","93","2","2012-09-26T18:49:53.131802"
"61","93","2","2012-09-26T19:00:34.958804"
"62","93","1","2012-09-26T19:08:01.123180"
"63","93","2","2012-09-26T19:09:08.403681"
"64","93","3","2012-09-26T19:17:33.505425"
"65","93","0","2012-09-26T19:19:10.130133"
"66","93","2","2012-09-26T19:21:44.556741"
"67","93","2","2012-09-26T19:32:52.871753"
"68","93","2","2012-09-26T19:44:38.762569"
"69","93","2","2012-09-26T19:56:43.843180"
"WrongBot","93","2","2012-09-26T19:57:08.395693"
"70","93","2","2012-09-26T20:11:17.930403"
"71","93","3","2012-09-26T20:12:58.509529"
"72","93","2","2012-09-26T20:15:58.132254"
"73","93","2","2012-09-26T20:23:20.501664"
"74","93","3","2012-09-26T20:24:32.111571"
"75","93","2","2012-09-26T20:25:51.202293"
"76","93","3","2012-09-26T20:31:48.054960"
"77","93","2","2012-09-26T20:34:27.435270"
"78","93","2","2012-09-26T20:41:34.428981"
"79","93","2","2012-09-26T21:01:33.996606"
"Salutator","93","2","2012-09-26T21:04:40.763913"
"80","93","2","2012-09-26T21:14:18.899579"
"81","93","2","2012-09-26T21:15:10.578816"
"Document","93","3","2012-09-26T21:16:18.195364"
"82","93","2","2012-09-26T21:23:56.295987"
"83","93","2","2012-09-26T21:50:20.114952"
"84","93","2","2012-09-26T22:15:29.105979"
"Eliezer_Yudkowsky","93","2","2012-09-26T22:42:34.180094"
"85","93","2","2012-09-26T22:51:06.770099"
"Ben_Welchner","93","2","2012-09-26T22:54:53.883157"
"Mutasir","93","3","2012-09-26T22:54:56.577001"
"86","93","2","2012-09-26T23:00:40.530559"
"87","93","2","2012-09-26T23:07:11.050050"
"88","93","2","2012-09-26T23:07:46.893912"
"cata","93","2","2012-09-26T23:32:54.764858"
"89","93","2","2012-09-26T23:41:51.616158"
"90","93","2","2012-09-27T00:11:33.496327"
"91","93","1","2012-09-27T00:22:40.827228"
"92","93","2","2012-09-27T01:10:20.228139"
"93","93","2","2012-09-27T01:37:28.660294"
"94","93","2","2012-09-27T01:39:03.443751"
"DeevGrape","93","2","2012-09-27T01:52:02.798055"
"95","93","2","2012-09-27T01:54:39.730122"
"RomanDavis","93","2","2012-09-27T02:01:35.198771"
"96","93","2","2012-09-27T02:12:05.868799"
"97","93","3","2012-09-27T02:17:17.317996"
"98","93","2","2012-09-27T02:20:26.795112"
"Bo102010","93","2","2012-09-27T02:27:45.304900"
"99","93","2","2012-09-27T02:44:24.696283"
"Swimmy","93","2","2012-09-27T02:45:51.005194"
"100","93","2","2012-09-27T02:55:26.728401"
"jacobt","93","2","2012-09-27T03:41:21.894297"
"101","93","2","2012-09-27T03:52:42.013649"
"102","93","2","2012-09-27T04:00:32.775337"
"103","93","2","2012-09-27T04:11:20.680170"
"104","93","2","2012-09-27T04:21:34.686431"
"105","93","3","2012-09-27T04:30:24.909127"
"106","93","2","2012-09-27T04:46:02.820973"
"107","93","2","2012-09-27T04:52:23.461496"
"108","93","2","2012-09-27T05:32:29.546195"
"vali","93","2","2012-09-27T06:41:56.420123"
"109","93","2","2012-09-27T06:48:46.455318"
"110","93","2","2012-09-27T06:59:50.465487"
"111","93","3","2012-09-27T07:23:27.783702"
"army1987","93","1","2012-09-27T07:31:13.519580"
"112","93","2","2012-09-27T08:10:30.963799"
"113","93","2","2012-09-27T08:45:42.598564"
"114","93","3","2012-09-27T08:58:50.068009"
"115","93","2","2012-09-27T09:04:12.434859"
"116","93","2","2012-09-27T09:04:58.600918"
"117","93","2","2012-09-27T09:23:59.706531"
"MixedNuts","93","2","2012-09-27T09:26:10.834079"
"118","93","2","2012-09-27T09:48:21.761798"
"119","93","3","2012-09-27T10:04:48.141331"
"120","93","2","2012-09-27T10:10:59.107398"
"121","93","2","2012-09-27T10:30:35.437118"
"122","93","2","2012-09-27T11:33:13.874836"
"123","93","3","2012-09-27T11:34:59.035270"
"124","93","2","2012-09-27T12:36:49.268465"
"125","93","0","2012-09-27T13:04:52.487639"
"Gedusa","93","2","2012-09-27T13:10:18.192611"
"126","93","3","2012-09-27T13:26:23.604758"
"127","93","3","2012-09-27T13:28:08.119448"
"128","93","2","2012-09-27T14:30:53.984720"
"129","93","2","2012-09-27T14:39:14.036940"
"130","93","2","2012-09-27T14:59:44.668664"
"131","93","2","2012-09-27T15:12:22.251635"
"132","93","2","2012-09-27T15:40:31.595677"
"133","93","4","2012-09-27T15:46:16.983431"
"wallowinmaya","93","2","2012-09-27T16:27:03.293605"
"134","93","3","2012-09-27T16:49:46.095885"
"135","93","2","2012-09-27T17:45:27.144969"
"Waffle_Iron","93","2","2012-09-27T17:58:58.593636"
"136","93","3","2012-09-27T18:03:51.287395"
"137","93","2","2012-09-27T19:04:44.724754"
"138","93","2","2012-09-27T19:12:32.423087"
"139","93","2","2012-09-27T20:31:31.824220"
"nyan_sandwich","93","2","2012-09-27T20:38:44.940403"
"RichardHughes","93","4","2012-09-27T21:50:03.024699"
"140","93","2","2012-09-27T22:48:38.198760"
